issue_id,status,owner,priority.code,priority.code.numeric,reported.by,elapsed.time,comments,commenters,comments.by.nonowners,commenters.nonowners,owner.bugs,owner.comments,owner.comments.nonowned,total.vertices,c1_c1,c1_c2,c1_c3,c1_c4,c2_c2,c2_c3,c2_c4,c3_c3,c3_c4,c4_c4,repeat.edges,total.distinct,total.edges
9783,Fix Released,Anne Gentle,Medium,4,Marco CONSONNI,3011.3033,8,5,7,4,411,2225,1444,5,1,0,0,7,0,0,0,0,0,4,7,3,10
9784,Fix Released,Anne Gentle,High,5,Igor Hrcek,170.1303,7,4,6,3,411,2225,1444,4,0,0,0,5,0,0,0,0,0,5,5,1,6
9785,Fix Released,Anne Gentle,High,5,Tom Fifield,3291.9742,12,4,11,3,411,2225,1444,4,0,0,0,3,0,0,0,0,0,5,5,1,6
9792,Fix Released,None,Wishlist,2,koolhead17,8763.0175,8,5,8,5,15804,0,0,5,0,1,0,5,0,0,1,0,0,1,5,5,10
9807,Fix Released,Vish Ishaya,High,5,Vish Ishaya,203.8778,19,4,5,3,370,3863,2311,4,0,0,0,0,0,0,0,0,0,17,5,1,6
9820,Fix Released,dan wendlandt,Medium,4,Salvatore Orlando,241.5956,5,3,5,3,118,1844,1238,3,0,0,0,0,0,0,0,0,0,5,3,0,3
9837,Fix Released,Anne Gentle,Medium,4,Mate Lakat,191.7253,8,3,5,2,411,2225,1444,3,0,0,0,5,0,0,0,0,0,2,3,0,3
9845,Fix Released,Brad Topol,Undecided,1,Allan Feid,102.6478,5,3,4,2,15,29,10,3,1,0,0,4,0,0,0,0,0,0,2,1,3
9847,Fix Released,Adam Young,High,5,Gabriel Hurley,2425.8789,15,5,11,4,119,582,359,5,0,2,0,10,0,0,2,0,0,2,9,1,10
9850,Fix Released,Ivan-Zhu,Undecided,1,Andrea Frittoli,492.3792,5,3,4,2,28,78,30,3,1,0,0,4,0,0,0,0,0,0,3,0,3
9854,Fix Released,John Griffith,High,5,John Griffith,237.4917,9,3,6,2,234,2279,1425,3,0,0,0,0,0,0,0,0,0,7,3,0,3
9855,Fix Released,Anne Gentle,High,5,Tom Fifield,342.7225,8,3,7,2,411,2225,1444,3,0,0,0,0,0,0,0,0,0,5,3,0,3
9857,Fix Released,Alessandro Pilotti,Medium,4,Alessandro Pilotti,842.2544,11,3,6,2,76,380,167,3,0,0,0,10,0,0,0,0,0,2,3,0,3
9864,Fix Released,Anne Gentle,Medium,4,Marco CONSONNI,33.1036,7,3,4,2,411,2225,1444,3,0,0,0,5,0,0,0,0,0,2,3,0,3
9872,Fix Released,Anne Gentle,Medium,4,Joseph Heck,9919.3197,11,5,7,4,411,2225,1444,5,0,0,4,0,0,1,0,9,1,1,6,4,10
9873,Fix Released,Anne Gentle,Medium,4,James E. Blair,3807.4269,8,3,4,2,411,2225,1444,3,0,0,3,4,0,0,0,0,1,0,3,0,3
9876,Fix Released,Anne Gentle,Medium,4,Marco CONSONNI,28.505,11,3,4,2,411,2225,1444,3,0,0,0,9,0,0,0,0,0,2,3,0,3
9877,Fix Released,Alan Pevec,Wishlist,2,justinsb,9008.0811,8,4,6,3,6,8629,8551,4,0,0,3,3,0,2,0,0,4,0,6,0,6
9879,Fix Released,Tom Fifield,Low,3,Eduardo Patrocinio,2869.1156,9,3,3,2,387,4508,3428,3,0,0,0,7,0,0,0,0,0,0,2,1,3
9880,Fix Released,Anne Gentle,Medium,4,Marco CONSONNI,45.7814,6,3,3,2,411,2225,1444,3,0,0,0,4,0,0,0,0,0,1,3,0,3
9891,Fix Released,Anne Gentle,Medium,4,Lorin Hochstein,1654.9875,8,3,5,2,411,2225,1444,3,0,0,0,0,0,0,0,0,6,3,3,0,3
9892,Fix Released,Oleg Bondarev,Undecided,1,yong sheng gong,3229.1278,6,3,5,2,84,334,122,3,0,0,1,2,0,0,0,0,2,0,2,1,3
9895,Fix Released,Aaron Rosen,Critical,6,Aaron Rosen,1303.2944,9,4,4,3,333,1485,312,4,0,0,0,0,0,1,3,1,1,0,4,2,6
9896,Fix Released,Mark McClain,Undecided,1,Mark McClain,707.1864,7,4,5,3,100,2744,2475,4,0,0,0,0,0,0,4,1,0,1,4,2,6
9897,Fix Released,Alex Xu,High,5,Alex Xu,839.2928,10,4,6,3,96,290,32,4,0,0,4,2,0,0,0,1,2,0,6,0,6
9899,Fix Released,Alex Xu,Medium,4,Mark McLoughlin,1850.1106,9,4,9,4,96,290,32,4,0,0,0,0,0,0,0,1,8,3,6,0,6
9900,Fix Released,Mark McClain,Medium,4,Quenten Grasso,3963.0694,8,4,6,3,100,2744,2475,4,2,0,3,2,0,0,0,3,0,0,4,2,6
9901,Fix Released,Gary Kotton,High,5,Mark McClain,496.7006,16,5,11,4,299,1583,491,5,0,0,0,0,0,0,0,0,11,2,6,4,10
9902,Fix Released,yong sheng gong,Medium,4,yong sheng gong,1412.7847,9,3,3,2,150,676,331,3,0,0,0,0,0,0,0,1,4,0,3,0,3
9903,Fix Released,Akihiro Motoki,Low,3,Akihiro Motoki,485.8153,7,3,4,2,319,2773,1800,3,0,0,0,0,0,0,0,1,6,0,3,0,3
9904,Fix Released,Aaron Rosen,Undecided,1,Aaron Rosen,1517.7006,8,4,4,3,333,1485,312,4,0,0,0,2,0,1,0,1,1,0,4,2,6
9906,Fix Released,Anne Gentle,High,5,Alexander Saint Croix,17.0253,6,3,3,2,411,2225,1444,3,0,0,0,4,0,0,0,0,0,1,2,1,3
9907,Fix Released,Diane Fleming,Medium,4,Tom Fifield,1047.4464,16,3,5,2,140,626,118,3,0,0,0,13,0,0,0,0,0,1,2,1,3
9908,Fix Released,zhangchao,Medium,4,zhangchao,46.1589,7,3,4,2,23,114,5,3,0,0,0,4,0,0,0,0,0,2,3,0,3
9909,Fix Released,yong sheng gong,High,5,yong sheng gong,220.8747,9,3,5,2,150,676,331,3,0,0,0,0,0,0,0,0,5,2,3,0,3
9912,Fix Released,yong sheng gong,Medium,4,Akihiro Motoki,6227.1072,14,5,11,4,150,676,331,5,3,0,0,11,0,0,0,2,4,4,9,1,10
9913,Fix Released,Akihiro Motoki,Medium,4,Nachi Ueno,5057.9539,12,7,11,6,319,2773,1800,7,0,0,0,1,0,0,4,0,5,14,12,9,21
9914,Fix Released,Ivan-Zhu,Medium,4,dan wendlandt,4711.0986,10,5,9,4,28,78,30,5,0,0,1,3,0,0,0,0,3,2,6,4,10
9915,Fix Released,yong sheng gong,Medium,4,Nachi Ueno,4531.375,11,5,6,4,150,676,331,5,0,0,0,0,0,0,7,0,2,2,5,5,10
9916,Fix Released,yong sheng gong,Medium,4,yong sheng gong,4093.9167,9,4,4,3,150,676,331,4,0,0,0,0,0,0,2,2,1,0,4,2,6
9917,Fix Released,Akihiro Motoki,Medium,4,Akihiro Motoki,2741.1086,15,4,5,3,319,2773,1800,4,0,9,2,3,0,0,3,1,1,0,5,1,6
9918,Fix Released,Akihiro Motoki,Medium,4,Akihiro Motoki,2482.0175,7,3,4,2,319,2773,1800,3,0,0,0,0,0,0,3,1,2,0,3,0,3
9919,Fix Released,Salvatore Orlando,Medium,4,Salvatore Orlando,6180.7611,19,8,12,7,310,1396,577,8,2,0,11,10,0,0,0,9,11,2,16,12,28
9920,Fix Released,Gary Kotton,Low,3,Gary Kotton,4808.2067,19,5,6,4,299,1583,491,5,0,0,0,0,0,0,6,0,4,0,6,4,10
9921,Fix Released,Gary Kotton,Low,3,Gary Kotton,88.3367,19,5,6,4,299,1583,491,5,0,0,0,0,0,0,6,0,4,0,6,4,10
9922,Fix Released,Salvatore Orlando,Low,3,Salvatore Orlando,78.6461,17,6,9,5,310,1396,577,6,0,0,0,0,0,0,0,0,13,1,6,9,15
9923,Fix Released,Salvatore Orlando,Low,3,Salvatore Orlando,4790.3733,17,6,9,5,310,1396,577,6,0,0,0,0,0,0,0,0,13,1,6,9,15
9924,Fix Released,Kyle Mestery,Low,3,Gary Kotton,3718.7075,13,5,8,4,31,1139,1064,5,0,0,6,4,0,0,0,0,6,0,7,3,10
9925,Fix Released,Akihiro Motoki,Undecided,1,Akihiro Motoki,5288.3803,8,4,4,3,319,2773,1800,4,0,1,0,2,0,0,1,1,4,0,6,0,6
9926,Fix Released,dan wendlandt,High,5,dan wendlandt,77.7997,15,5,7,4,118,1844,1238,5,0,0,0,0,0,0,0,0,6,6,8,2,10
9927,Fix Released,dan wendlandt,Undecided,1,dan wendlandt,4789.5658,15,5,7,4,118,1844,1238,5,0,0,0,0,0,0,0,0,6,6,8,2,10
9928,Fix Released,yong sheng gong,Low,3,dan wendlandt,5655.4703,16,6,14,5,150,676,331,6,7,6,0,12,0,0,3,1,4,2,11,4,15
9929,Fix Released,yong sheng gong,Low,3,Akihiro Motoki,282.1197,16,6,14,5,150,676,331,6,8,7,0,13,0,0,3,1,4,2,11,4,15
9930,Fix Released,Akihiro Motoki,Low,3,Akihiro Motoki,2637.8389,7,3,4,2,319,2773,1800,3,0,0,0,0,0,0,3,1,2,0,3,0,3
9931,Fix Released,Akihiro Motoki,Wishlist,2,Akihiro Motoki,2747.5133,7,3,4,2,319,2773,1800,3,0,0,0,0,0,0,3,1,2,0,3,0,3
9932,Fix Released,Gary Kotton,Undecided,1,Gary Kotton,6295.5878,9,4,3,3,299,1583,491,4,0,0,0,1,0,0,0,0,3,0,4,2,6
9933,Fix Released,None,Undecided,1,Akihiro Motoki,6227.6961,5,3,5,3,15804,0,0,3,1,0,0,0,0,0,0,2,0,0,2,1,3
9934,Fix Released,yong sheng gong,Undecided,1,yong sheng gong,5824.9989,8,4,4,3,150,676,331,4,0,0,0,2,0,0,0,2,1,0,4,2,6
9935,Fix Released,dan wendlandt,High,5,dan wendlandt,83.2925,16,6,8,5,118,1844,1238,6,0,0,0,0,0,0,2,0,8,6,11,4,15
9936,Fix Released,dan wendlandt,Undecided,1,dan wendlandt,5443.6161,16,6,8,5,118,1844,1238,6,0,0,0,0,0,0,1,0,8,6,11,4,15
9937,Fix Released,Nachi Ueno,Undecided,1,Nachi Ueno,5440.3942,7,3,3,2,72,1332,1167,3,0,0,0,2,0,0,0,1,2,1,3,0,3
9938,Fix Released,yong sheng gong,Medium,4,dan wendlandt,721.9997,19,6,17,5,150,676,331,6,0,0,0,10,0,0,1,0,2,8,10,5,15
9939,Fix Released,yong sheng gong,Undecided,1,dan wendlandt,5433.8092,19,6,17,5,150,676,331,6,0,0,0,10,0,0,1,0,2,8,10,5,15
9940,Fix Released,Bhuvan Arumugam,Undecided,1,dan wendlandt,5369.0956,10,5,9,4,26,140,89,5,0,0,2,3,0,0,0,0,4,5,8,2,10
9941,Fix Released,Salvatore Orlando,Undecided,1,Salvatore Orlando,4721.9289,9,4,5,3,310,1396,577,4,0,0,1,0,0,0,0,0,3,1,3,3,6
9942,Fix Released,Jason,Undecided,1,Jason,1190.5978,9,4,4,3,12,63,32,4,0,0,1,3,0,0,0,0,1,0,4,2,6
9943,Fix Released,andrewsben,Undecided,1,andrewsben,2417.1794,7,4,5,3,1,106,104,4,0,0,1,4,0,0,0,0,1,1,3,3,6
9944,Fix Released,yong sheng gong,Undecided,1,yong sheng gong,3316.6525,7,4,5,3,150,676,331,4,0,0,0,0,0,0,3,1,1,1,4,2,6
9945,Fix Released,Akihiro Motoki,Undecided,1,dan wendlandt,3479.62,12,5,11,4,319,2773,1800,5,0,0,1,8,0,0,0,0,2,5,9,1,10
9952,Fix Released,Jeremy Stanley,Low,3,Sam Danes,25.0911,10,3,6,2,201,1374,1001,3,6,0,0,0,0,0,0,0,0,0,1,2,3
9964,Fix Released,Kurt Martin,Medium,4,Kurt Martin,0.4969,9,3,6,2,33,194,57,3,0,0,0,6,0,0,0,0,0,2,3,0,3
9969,Fix Released,Anne Gentle,Medium,4,Matthias Runge,408.9853,8,4,7,3,411,2225,1444,4,0,0,0,6,0,0,0,0,0,1,3,3,6
9975,Fix Released,None,Undecided,1,Sergio M,176.5772,8,5,8,5,15804,0,0,5,1,2,0,5,0,0,2,0,0,1,7,3,10
9976,Fix Released,Cory Stone,Undecided,1,Cory Stone,259.3894,6,4,4,3,13,36,19,4,1,0,0,4,0,0,0,0,0,0,3,3,6
9982,Fix Released,Tom Fifield,Medium,4,Anne Gentle,2450.9608,10,3,3,2,387,4508,3428,3,0,0,0,0,0,0,0,0,0,9,3,0,3
9985,Fix Released,Dean Troyer,Low,3,Scott Moser,10002.4167,9,3,7,2,110,868,638,3,0,0,2,0,0,0,0,1,3,0,2,1,3
9990,Fix Released,Ivan-Zhu,Undecided,1,Nathan Biles,261.8889,5,3,4,2,28,78,30,3,1,0,0,4,0,0,0,0,0,0,2,1,3
9992,Fix Released,jiang\,High,5,Eoghan Glynn,3654.8719,7,4,6,3,22,51,7,4,2,2,5,0,0,1,0,0,1,0,5,1,6
9993,Fix Released,Joe T,Medium,4,Tom Fifield,1391.4764,9,3,8,2,5,23,19,3,0,0,0,3,0,0,0,0,0,2,3,0,3
9994,Fix Released,Tom Fifield,Medium,4,Tom Fifield,8013.0647,8,3,3,2,387,4508,3428,3,0,0,0,2,0,0,0,0,1,4,3,0,3
9995,Fix Released,Anne Gentle,Low,3,John D'Esposito,4178.2208,14,6,14,6,411,2225,1444,6,3,4,0,17,0,0,5,0,0,5,12,3,15
10005,Fix Released,Anne Gentle,Medium,4,Anne Gentle,2958.0492,12,3,7,2,411,2225,1444,3,0,0,0,0,0,0,0,0,0,16,3,0,3
10007,Fix Released,Jérôme Gallard,Medium,4,Jérôme Gallard,469.6747,9,3,6,2,2,23,17,3,0,0,0,6,0,0,0,0,0,2,3,0,3
10008,Fix Released,Joe T,Medium,4,Tom Fifield,1349.4319,10,4,9,3,5,23,19,4,1,0,0,5,0,0,0,0,0,2,2,4,6
10041,Fix Released,Joseph Heck,Critical,6,Joseph Heck,424.605,17,6,10,5,34,1076,923,6,0,1,0,4,0,0,14,0,0,11,9,6,15
10042,Fix Released,Dolph Mathews,Critical,6,Adam Young,390.9428,17,6,14,5,263,4838,4024,6,0,1,0,4,0,0,13,0,0,11,14,1,15
10043,Fix Released,Henry Nash,High,5,Dan Prince,2226.5461,13,6,11,5,78,425,116,6,1,2,0,9,0,0,3,0,0,9,12,3,15
10044,Fix Released,Dolph Mathews,High,5,Dolph Mathews,2014.3753,10,4,7,3,263,4838,4024,4,0,0,0,0,0,0,0,0,0,12,5,1,6
10045,Fix Released,Dolph Mathews,High,5,Chmouel Boudjnah,2005.735,13,6,13,6,263,4838,4024,6,1,2,0,9,0,0,9,0,1,5,9,6,15
10046,Fix Released,Jose Castro Leon,High,5,Jose Castro Leon,1343.2339,17,4,7,3,20,100,25,4,0,0,0,17,0,0,0,0,0,2,4,2,6
10047,Fix Released,Dan Radez,High,5,Adam Young,1214.8058,34,8,34,8,3,0,0,8,0,4,0,10,0,0,20,0,0,15,14,14,28
10048,Fix Released,Joseph Heck,High,5,Adam Young,1073.9519,11,6,10,5,34,1076,923,6,1,0,0,7,0,0,3,0,0,4,5,10,15
10049,Fix Released,Guang Yee,High,5,Adam Young,804.3075,35,9,35,9,24,64,22,9,2,4,0,25,0,0,20,0,0,15,17,19,36
10050,Fix Released,Dolph Mathews,Medium,4,Joseph Heck,3186.0394,8,4,7,3,263,4838,4024,4,0,0,0,0,0,0,0,0,0,11,5,1,6
10051,Fix Released,Dolph Mathews,Medium,4,Joseph Heck,3186.0267,9,3,9,3,263,4838,4024,3,0,0,0,0,0,0,0,0,0,6,2,1,3
10052,Fix Released,Dolph Mathews,Medium,4,Joseph Heck,3186.0133,8,3,8,3,263,4838,4024,3,0,0,0,0,0,0,0,0,0,6,2,1,3
10053,Fix Released,Dolph Mathews,Medium,4,Joseph Heck,3185.9881,8,4,7,3,263,4838,4024,4,0,0,0,0,0,0,0,0,0,11,5,1,6
10054,Fix Released,Adam Young,Medium,4,Adam Young,2248.5933,14,4,11,3,119,582,359,4,0,0,0,10,0,0,3,0,0,1,4,2,6
10055,Fix Released,Vincent Hou,Medium,4,Vincent Hou,2088.1492,10,4,7,3,53,132,56,4,0,0,0,8,0,0,0,0,0,4,5,1,6
10056,Fix Released,Jose Castro Leon,Medium,4,Jose Castro Leon,1676.8225,16,5,9,4,20,100,25,5,5,0,0,19,0,0,0,0,0,1,7,3,10
10057,Fix Released,Adam Young,Medium,4,Adam Young,1644.0217,9,4,7,3,119,582,359,4,0,0,0,3,0,0,4,0,0,1,4,2,6
10058,Fix Released,Justin Shepherd,Medium,4,Boden R,1404.7375,10,4,10,4,54,1023,937,4,0,0,0,8,0,0,0,0,0,2,4,2,6
10059,Fix Released,Joseph Heck,Medium,4,Adam Young,1303.5375,10,4,7,3,34,1076,923,4,0,0,0,5,0,0,3,0,0,5,5,1,6
10060,Fix Released,Alvaro Lopez,Medium,4,Dolph Mathews,304.6017,12,4,12,4,35,155,37,4,0,0,0,0,0,0,0,0,0,11,4,2,6
10061,Fix Released,Dolph Mathews,Low,3,Dolph Mathews,1886.6636,12,5,10,4,263,4838,4024,5,0,0,0,3,0,0,6,0,0,17,8,2,10
10062,Fix Released,Dolph Mathews,Low,3,Dolph Mathews,690.1839,6,3,4,2,263,4838,4024,3,0,0,0,0,0,0,0,0,0,4,2,1,3
10063,Fix Released,Joseph Heck,Wishlist,2,Ziad Sawalha,7903.965,11,3,4,2,34,1076,923,3,0,0,0,0,0,3,6,0,0,2,3,0,3
10064,Fix Released,David Ripton,Wishlist,2,Joseph Heck,6948.5433,10,5,9,4,26,120,75,5,1,0,0,7,0,0,0,0,0,5,5,5,10
10065,Fix Released,Dolph Mathews,Wishlist,2,Joseph Heck,3186.1164,12,4,11,3,263,4838,4024,4,0,0,0,0,0,0,0,0,0,20,6,0,6
10066,Fix Released,Dolph Mathews,Wishlist,2,Joseph Heck,3186.095,11,4,10,3,263,4838,4024,4,0,0,0,0,0,0,0,0,0,17,5,1,6
10067,Fix Released,Dolph Mathews,Wishlist,2,Joseph Heck,3186.0822,11,4,10,3,263,4838,4024,4,0,0,0,0,0,0,0,0,0,17,5,1,6
10068,Fix Released,Jose Castro Leon,Wishlist,2,Adam Young,876.2653,13,6,11,5,20,100,25,6,2,0,0,13,0,0,6,0,0,8,13,2,15
10069,Fix Released,Sathish Nagappan,Undecided,1,Adam Young,3486.8625,11,5,9,4,9,20,7,5,2,0,0,8,0,0,3,0,0,5,8,2,10
10070,Fix Released,Jose Castro Leon,Undecided,1,Jose Castro Leon,1574.9414,15,3,5,2,20,100,25,3,0,0,0,5,0,0,0,0,0,0,2,1,3
10071,Fix Released,Jose Castro Leon,Undecided,1,Jose Castro Leon,1531.7011,18,3,9,2,20,100,25,3,0,0,0,14,0,0,0,0,0,0,2,1,3
10072,Fix Released,Jose Castro Leon,Undecided,1,Jose Castro Leon,1531.6053,12,3,5,2,20,100,25,3,0,0,0,8,0,0,0,0,0,0,2,1,3
10073,Fix Released,Ralf Haferkamp,Undecided,1,Ralf Haferkamp,1505.8811,8,3,6,2,7,33,23,3,0,0,0,6,0,0,0,0,0,0,2,1,3
10074,Fix Released,Yaguang Tang,Undecided,1,Yaguang Tang,1471.37,8,3,6,2,102,387,147,3,0,0,0,5,0,0,1,0,0,0,2,1,3
10075,Fix Released,Jose Castro Leon,Undecided,1,Jose Castro Leon,1344.1083,11,3,5,2,20,100,25,3,0,0,0,7,0,0,0,0,0,0,2,1,3
10076,Fix Released,stelford,Undecided,1,Dolph Mathews,1298.3031,18,6,17,5,8,4,1,6,3,0,0,10,0,0,0,0,0,17,9,6,15
10077,Fix Released,Unmesh Gurjar,Undecided,1,Rohit Karajgi,1202.1786,12,5,11,4,49,218,98,5,0,1,0,1,0,0,11,0,0,2,7,3,10
10078,Fix Released,Unmesh Gurjar,Undecided,1,Rohit Karajgi,1201.8211,11,4,10,3,49,218,98,4,0,1,0,0,0,0,10,0,0,0,5,1,6
10079,Fix Released,Julien Danjou,Undecided,1,Julien Danjou,1168.4344,16,5,14,4,116,1106,615,5,3,0,0,15,0,0,3,0,1,7,10,0,10
10080,Fix Released,Adam Young,Undecided,1,Dolph Mathews,1046.9453,6,3,6,3,119,582,359,3,0,0,0,0,0,0,0,0,0,4,2,1,3
10081,Fix Released,wanglong,Undecided,1,Meynard Alconis,1020.8978,10,4,6,3,1,9,5,4,4,0,0,8,0,0,0,0,0,0,3,3,6
10083,Fix Released,Ken Thomas,Undecided,1,Ken Thomas,810.6611,31,8,28,7,7,31,19,8,6,0,0,36,0,0,0,0,0,17,20,8,28
10084,Fix Released,Guang Yee,Undecided,1,Adam Young,735.0847,8,3,8,3,24,64,22,3,0,0,0,1,0,0,4,0,0,0,2,1,3
10085,Fix Released,None,Undecided,1,Tim Simpson,638.9225,6,3,6,3,15804,0,0,3,1,0,0,3,0,0,0,0,0,0,1,2,3
10086,Fix Released,Dolph Mathews,Undecided,1,David Kranz,349.0194,8,4,7,3,263,4838,4024,4,0,0,0,0,0,0,5,0,1,2,3,3,6
10087,Fix Released,None,High,5,Adam Young,1868.3236,9,4,9,4,15804,0,0,4,0,0,0,0,0,0,7,0,0,5,5,1,6
10088,Fix Released,Brian Waldon,High,5,Brian Waldon,806.6253,15,4,13,3,293,2615,1605,4,0,0,0,0,0,0,0,0,0,32,6,0,6
10089,Fix Released,Chmouel Boudjnah,Medium,4,zhangjialong,5735.0736,12,4,10,3,127,400,194,4,0,2,0,7,0,0,4,0,1,3,6,0,6
10090,Fix Released,Eduardo Patrocinio,Medium,4,Eduardo Patrocinio,947.0761,13,5,9,4,9,39,18,5,0,0,0,11,0,0,0,0,0,5,7,3,10
10091,Fix Released,Dolph Mathews,Medium,4,Dolph Mathews,642.6139,21,4,16,3,263,4838,4024,4,0,0,0,0,0,0,0,0,0,34,6,0,6
10093,Fix Released,Adam Young,Low,3,Jay Pipes,4360.0603,10,5,9,4,119,582,359,5,0,0,0,2,0,0,2,0,0,9,6,4,10
10094,Fix Released,Steve Martinelli,Low,3,Kevin L. Mitchell,2995.6611,17,6,16,5,70,350,141,6,1,0,0,18,0,0,0,0,0,5,8,7,15
10095,Fix Released,Justin Shepherd,Low,3,Adam Young,1194.8592,10,4,10,4,54,1023,937,4,0,0,0,0,0,0,8,0,0,6,5,1,6
10096,Fix Released,Dolph Mathews,Low,3,Dolph Mathews,642.5142,8,3,6,2,263,4838,4024,3,0,0,0,0,0,0,0,0,0,6,2,1,3
10097,Fix Released,Nachiappan,Wishlist,2,Ying Chun Guo,1560.8219,12,4,12,4,9,23,5,4,0,0,0,9,0,0,0,0,0,6,5,1,6
10098,Fix Released,Wu Wenxiang,Undecided,1,ryuta sekine,1159.7303,9,4,6,3,74,115,37,4,3,0,0,8,0,0,0,0,0,1,4,2,6
10100,Fix Released,Henry Nash,Undecided,1,Henry Nash,497.3428,11,3,5,2,78,425,116,3,0,0,0,7,0,0,0,0,0,1,3,0,3
10101,Fix Released,Dan Prince,Critical,6,Dan Prince,227.9231,9,3,4,2,416,2684,783,3,0,0,0,0,0,0,0,0,0,4,2,1,3
10102,Fix Released,Adam Young,Critical,6,Adam Young,6.7044,9,3,5,2,119,582,359,3,0,0,0,0,0,0,7,0,0,2,3,0,3
10103,Fix Released,Dolph Mathews,High,5,Ziad Sawalha,12593.5692,33,6,26,5,263,4838,4024,6,16,7,4,32,0,2,16,0,0,23,15,0,15
10104,Fix Released,gordon chung,High,5,Jay Pipes,3351.7475,12,4,12,4,86,842,595,4,0,0,0,0,0,0,0,0,0,11,4,2,6
10105,Fix Released,Henry Nash,High,5,Henry Nash,1447.6253,13,3,6,2,78,425,116,3,0,0,0,9,0,0,0,0,0,0,2,1,3
10106,Fix Released,Dan Prince,High,5,Dan Prince,941.4375,9,3,4,2,416,2684,783,3,0,0,0,0,0,0,0,0,0,4,2,1,3
10107,Fix Released,Dolph Mathews,High,5,Dolph Mathews,867.72,6,3,4,2,263,4838,4024,3,0,0,0,0,0,0,0,0,0,4,2,1,3
10108,Fix Released,Henry Nash,High,5,Henry Nash,810.7492,11,3,8,2,78,425,116,3,0,0,0,8,0,0,0,0,0,1,3,0,3
10110,Fix Released,Dan Prince,High,5,Dan Prince,474.5272,10,3,4,2,416,2684,783,3,0,0,0,0,0,0,0,0,0,4,2,1,3
10111,Fix Released,Henry Nash,High,5,Henry Nash,143.8786,10,3,6,2,78,425,116,3,0,0,0,6,0,0,0,0,0,1,3,0,3
10113,Fix Released,Dolph Mathews,Medium,4,Endre Karlson,7931.8414,13,7,10,6,263,4838,4024,7,4,1,0,11,0,0,5,0,0,6,10,11,21
10116,Fix Released,Dolph Mathews,Medium,4,Gabriel Hurley,5863.8361,15,6,12,5,263,4838,4024,6,2,0,0,15,0,0,0,0,0,2,9,6,15
10117,Fix Released,Nachiappan,Medium,4,Maru Newby,5071.3903,11,4,8,3,9,23,5,4,3,0,0,9,0,0,0,0,0,0,4,2,6
10118,Fix Released,Guang Yee,Medium,4,Adam Young,4374.9953,10,3,10,3,24,64,22,3,0,0,0,4,0,0,4,0,0,3,3,0,3
10119,Fix Released,Dirk Mueller,Medium,4,Dave Spano,3017.215,14,5,13,4,58,310,157,5,1,0,0,18,0,0,0,0,0,6,8,2,10
10120,Fix Released,None,Medium,4,Andre Naehring,3360.9119,8,4,8,4,15804,0,0,4,0,0,0,6,0,0,0,0,0,6,6,0,6
10121,Fix Released,None,Medium,4,Henry Nash,2199.9856,11,4,11,4,15804,0,0,4,0,0,0,8,0,0,0,0,0,8,6,0,6
10122,Fix Released,Tony NIU,Medium,4,Kanami Akama,1657.7233,14,6,12,5,2,11,7,6,4,0,0,14,0,0,0,0,0,4,10,5,15
10123,Fix Released,Dolph Mathews,Medium,4,Jacob Godin,1003.8608,11,4,8,3,263,4838,4024,4,0,0,0,8,0,0,0,0,0,5,5,1,6
10124,Fix Released,gordon chung,Medium,4,Henry Nash,809.4922,9,4,8,3,86,842,595,4,1,0,0,6,0,0,0,0,0,0,4,2,6
10125,Fix Released,Dolph Mathews,Medium,4,Dolph Mathews,7.0578,7,3,5,2,263,4838,4024,3,0,0,0,0,0,0,0,0,0,7,3,0,3
10126,Fix Released,Dolph Mathews,Low,3,Dolph Mathews,7.0992,7,3,5,2,263,4838,4024,3,0,0,0,0,0,0,0,0,0,7,3,0,3
10127,Fix Released,Yuriy Taraday,Wishlist,2,Boden R,3257.275,13,6,12,5,7,45,31,6,3,0,0,11,0,0,0,0,0,3,5,10,15
10128,Fix Released,Ken Pepple,Undecided,1,Ken Pepple,1114.4803,8,3,5,2,30,80,11,3,0,0,0,5,0,0,0,0,0,0,2,1,3
10129,Fix Released,Tushar Patil,Undecided,1,Unmesh Gurjar,1026.9775,10,4,10,4,19,572,513,4,0,1,0,1,0,0,6,0,0,0,4,2,6
10130,Fix Released,Jose Castro Leon,Undecided,1,Jose Castro Leon,741.5242,8,3,5,2,20,100,25,3,0,0,0,5,0,0,0,0,0,0,2,1,3
10131,Fix Released,shu\,Undecided,1,shu\,485.7192,7,3,4,2,4,22,7,3,1,0,0,6,0,0,0,0,0,0,2,1,3
10132,Fix Released,None,Undecided,1,Joshua Harlow,460.2458,10,4,10,4,15804,0,0,4,6,0,0,9,0,0,0,0,0,0,6,0,6
10133,Fix Released,None,Undecided,1,Adam Young,397.4269,8,3,8,3,15804,0,0,3,0,0,0,0,0,0,5,0,0,0,2,1,3
10134,Fix Released,Jose Castro Leon,Undecided,1,Jose Castro Leon,354.5097,9,3,5,2,20,100,25,3,0,0,0,6,0,0,0,0,0,0,2,1,3
10137,Fix Released,gordon chung,Undecided,1,gordon chung,299.5481,9,4,6,3,86,842,595,4,1,0,0,7,0,0,0,0,0,0,4,2,6
10138,Fix Released,Nathanael Burton,Undecided,1,Nathanael Burton,266.7736,8,3,6,2,9,56,35,3,0,0,0,6,0,0,0,0,0,3,3,0,3
